Distancia_RS,Distancia_metros,Fator_Dilatacao
1.01,14897.70503,0.09950371902099896
1.0280160320641283,15163.4451602004,0.16508338639878742
1.0460320641282566,15429.185290400801,0.2097769303779703
1.0640480961923846,15694.925420601201,0.24534232863302416
1.082064128256513,15960.665550801603,0.27539127725561763
1.1000801603206412,16226.405681002003,0.3016211767774497
1.1180961923847696,16492.145811202405,0.3249962601930949
1.1361122244488977,16757.885941402805,0.34612896950305344
1.154128256513026,17023.626071603205,0.36543832857088043
1.1721442885771542,17289.366201803605,0.3832267104138594
1.1901603206412823,17555.106332004005,0.3997212317259264
1.2081763527054108,17820.84646220441,0.41509789600724195
1.226192384769539,18086.58659240481,0.4294965527256035
1.2442084168336673,18352.32672260521,0.4430306232143462
1.2622244488977954,18618.06685280561,0.4557936775324188
1.2802404809619239,18883.806983006012,0.46786402977791264
1.2982565130260522,19149.547113206412,0.47930803897318275
1.3162725450901802,19415.287243406812,0.4901825370646418
1.3342885771543085,19681.027373607212,0.5005366519725191
1.3523046092184368,19946.767503807612,0.5104132012794225
1.3703206412825648,20212.507634008012,0.5198497747403347
1.3883366733466933,20478.247764208416,0.5288795870504556
1.4063527054108216,20743.987894408816,0.537532158169845
1.4243687374749499,21009.728024609216,0.545833862279836
1.4423847695390781,21275.46815480962,0.5538083753142895
1.4604008016032064,21541.20828501002,0.5614770432276198
1.4784168336673347,21806.94841521042,0.5688591876303096
1.496432865731463,22072.68854541082,0.5759723614300843
1.514448897795591,22338.42867561122,0.582832564194411
1.5324649298597193,22604.16880581162,0.5894544247830354
1.5504809619238475,22869.90893601202,0.595851357173428
1.5684969939879758,23135.649066212423,0.602035694168711
1.586513026052104,23401.389196412823,0.60801880273258
1.6045290581162324,23667.129326613223,0.6138111839646724
1.6225450901803609,23932.869456813627,0.6194225601593276
1.640561122244489,24198.609587014027,0.6248619509417898
1.6585771543086172,24464.349717214427,0.6301377401199731
1.6765931863727455,24730.089847414827,0.6352577346056479
1.6946092184368735,24995.829977615227,0.6402292165303249
1.7126252505010018,25261.570107815627,0.645058989496148
1.73064128256513,25527.310238016027,0.6497534197514999
1.7486573146292583,25793.05036821643,0.6543184729577224
1.7666733466933866,26058.79049841683,0.6587597471118365
1.7846893787575149,26324.53062861723,0.6630825021061505
1.8027054108216434,26590.270758817634,0.6672916863358047
1.8207214428857714,26856.010889018035,0.6713919607069558
1.8387374749498997,27121.751019218435,0.6753877203493631
1.856753507014028,27387.491149418835,0.6792831142958919
1.874769539078156,27653.231279619235,0.683082063356573
1.8927855711422843,27918.971409819635,0.6867882763852343
1.9108016032064126,28184.711540020035,0.690405265111482
1.928817635270541,28450.45167022044,0.6939363576892208
1.9468336673346691,28716.19180042084,0.697384711094387
1.9648496993987976,28981.931930621242,0.7007533224886249
1.9828657314629259,29247.672060821642,0.7040450396518722
2.000881763527054,29513.412191022042,0.7072625705749093
2.018897795591182,29779.152321222442,0.710408492292571
2.0369138276553103,30044.892451422842,0.7134852590293146
2.0549298597194388,30310.632581623242,0.7164952097209693
2.072945891783567,30576.372711823642,0.7194405749696122
2.090961923847695,30842.112842024042,0.7223234834824707
2.1089779559118234,31107.852972224446,0.7251459680404468
2.126993987975952,31373.59310242485,0.7279099710371797
2.1450100200400803,31639.33323262525,0.730617349625422
2.1630260521042084,31905.07336282565,0.733269880503859
2.1810420841683364,32170.81349302605,0.7358692643742458
2.199058116232465,32436.55362322645,0.7384171300958624
2.217074148296593,32702.29375342685,0.7409150385617167
2.235090180360721,32968.03388362725,0.7433644863186395
2.2531062124248495,33233.77401382765,0.7457669089513698
2.2711222444889776,33499.51414402805,0.7481236842488996
2.2891382765531056,33765.25427422845,0.7504361351697085
2.3071543086172346,34030.99440442886,0.7527055326210419
2.3251703406813626,34296.73453462926,0.7549330980660698
2.3431863727454907,34562.47466482966,0.7571200059715617
2.361202404809619,34828.21479503006,0.7592673861076449
2.3792184368737472,35093.95492523046,0.7613763257102371
2.3972344689378753,35359.69505543086,0.7634478715158693
2.415250501002004,35625.43518563126,0.7654830316778155
2.433266533066132,35891.17531583166,0.7674827775717279
2.4512825651302603,36156.91544603206,0.7694480454983168
2.4692985971943884,36422.65557623246,0.7713797382900243
2.487314629258517,36688.395706432864,0.7732787268280911
2.5053306613226454,36954.135836633264,0.7751458514759298
2.5233466933867734,37219.875966833664,0.7769819234342616
2.5413627254509015,37485.616097034064,0.7787877260230627
2.55937875751503,37751.356227234464,0.7805640158949929
2.577394789579158,38017.096357434864,0.7823115241846309
2.595410821643286,38282.836487635264,0.7840309575975274
2.6134268537074146,38548.576617835664,0.7857229994427969
2.6314428857715426,38814.316748036064,0.7873883106127028
2.6494589178356707,39080.056878236464,0.7890275305124476
2.6674749498997996,39345.79700843687,0.7906412779431535
2.6854909819639277,39611.53713863727,0.7922301519408139
2.703507014028056,39877.27726883767,0.7937947325738044
2.721523046092184,40143.01739903807,0.7953355817013658
2.7395390781563123,40408.75752923847,0.7968532436953117
2.7575551102204408,40674.49765943887,0.7983482461270617
2.775571142284569,40940.23778963927,0.7998211004219614
2.793587174348697,41205.97791983967,0.8012723024827255
2.8116032064128254,41471.71805004007,0.8027023332837208
2.829619238476954,41737.45818024048,0.8041116594376916
2.847635270541082,42003.19831044088,0.8055007337364366
2.8656513026052104,42268.93844064128,0.8068699956668421
2.8836673346693384,42534.67857084168,0.8082198719035965
2.9016833667334665,42800.41870104208,0.8095507767798227
2.919699398797595,43066.15883124248,0.8108631127367971
2.937715430861723,43331.89896144288,0.8121572707538437
